member_id,date,racks_am,racks_pm,gf,vegan,vgf,sales,pizza,notes,weather,aqi,witness_id
0,2015-06-20,31,26,0,0,0,17500.65,yum,n/a,weather,0,1
0,2015-06-21,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-22,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-23,18,17.5,0,0,0,10843.23,yum,n/a,weather,0,1
0,2015-06-24,13.5,16,0,0,0,9577.39,yum,n/a,weather,0,1
0,2015-06-25,18,16,0,0,0,11395.9,yum,n/a,weather,0,1
0,2015-06-26,25,22.5,0,0,0,13990.4,yum,n/a,weather,0,1
0,2015-06-27,30,24,0,0,0,16885.05,yum,n/a,weather,0,1
0,2015-06-28,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-29,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-06-30,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-01,20,17,0,0,0,11160.45,yum,n/a,weather,0,1
0,2015-07-02,19,22,0,0,0,11363.95,yum,n/a,weather,0,1
0,2015-07-03,37.5,25.5,0,0,0,18437.35,yum,n/a,weather,0,1
0,2015-07-04,22,0,0,0,0,8066.87,yum,4th of July. Lunch Only,weather,0,1
0,2015-07-05,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-06,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-07,15,18,0,0,0,10032.7,yum,n/a,weather,0,1
0,2015-07-08,16,16,0,0,0,9934.55,yum,n/a,weather,0,1
0,2015-07-09,23,22.5,0,0,0,12919.4,yum,n/a,weather,0,1
0,2015-07-10,29.5,27.5,0,0,0,16062.25,yum,n/a,weather,0,1
0,2015-07-11,33.5,23.5,0,0,0,17679.31,yum,n/a,weather,0,1
0,2015-07-12,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-13,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-14,19.5,16.5,0,0,0,10316.75,yum,n/a,weather,0,1
0,2015-07-15,16,16.5,0,0,0,10130.8,yum,n/a,weather,0,1
0,2015-07-16,18,18.5,0,0,0,11892.29,yum,n/a,weather,0,1
0,2015-07-17,27,26,0,0,0,16455.9,yum,n/a,weather,0,1
0,2015-07-18,29,21,0,0,0,17598.2,yum,n/a,weather,0,1
0,2015-07-19,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-20,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-21,16,14,0,0,0,9986.09,yum,n/a,weather,0,1
0,2015-07-22,20,16,0,0,0,10917.85,yum,n/a,weather,0,1
0,2015-07-23,19,20,0,0,0,12062,yum,n/a,weather,0,1
0,2015-07-24,25,21,0,0,0,14199.85,yum,n/a,weather,0,1
0,2015-07-25,35,31,0,0,0,19881.35,yum,n/a,weather,0,1
0,2015-07-26,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-27,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-07-28,17,21,0,0,0,11834.5,yum,n/a,weather,0,1
0,2015-07-29,18,18.5,0,0,0,12639.15,yum,n/a,weather,0,1
0,2015-07-30,19,19,0,0,0,11.637,yum,n/a,weather,0,1
0,2015-07-31,30.25,28.5,0,0,0,17347.75,yum,n/a,weather,0,1
0,2015-08-01,37.5,26,0,0,0,17947.44,yum,n/a,weather,0,1
0,2015-08-02,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-03,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-04,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-05,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-06,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-07,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-08,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-09,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-10,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-11,20,20,0,0,0,12934.7,yum,n/a,weather,0,1
0,2015-08-12,23,22,0,0,0,13734.75,yum,n/a,weather,0,1
0,2015-08-13,20,18,0,0,0,11674.92,yum,n/a,weather,0,1
0,2015-08-14,29,28,0,0,0,17081.9,yum,n/a,weather,0,1
0,2015-08-15,31.5,24.5,0,0,0,18623.11,yum,Indian Independence Day,weather,0,1
0,2015-08-16,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-17,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-18,18,17,0,0,0,10908.64,yum,n/a,weather,0,1
0,2015-08-19,16,17,0,0,0,10693.5,yum,n/a,weather,0,1
0,2015-08-20,20,17.5,0,0,0,10774.25,yum,n/a,weather,0,1
0,2015-08-21,33,27,0,0,0,17081.9,yum,n/a,weather,0,1
0,2015-08-22,37,30,0,0,0,20791.55,yum,n/a,weather,0,1
0,2015-08-23,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-24,0,0,0,0,0,0,yum,n/a,weather,0,1
0,2015-08-25,16,19,0,0,0,10516,yum,n/a,weather,0,1
0,2015-08-26,17,17,0,0,0,11360.4,yum,n/a,weather,0,1
0,2015-08-27,18.5,19,0,0,0,11945.75,yum,n/a,weather,0,1
0,2015-08-28,29,24,0,0,0,14318.5,yum,n/a,weather,0,1
0,2015-08-29,35.5,30,0,0,0,20076.75,yum,Cal Move In,weather,0,1
