id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
97,2015-04-20,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
98,2015-04-21,14,16,0,0,0,8662,“needs logging”,“none recorded”,“none recorded”
99,2015-04-22,16,13,0,0,0,8797.6,“needs logging”,“none recorded”,“none recorded”
100,2015-04-23,17,19,0,0,0,10819.84,“needs logging”,“none recorded”,“none recorded”
101,2015-04-24,25,24,0,0,0,13682.75,“needs logging”,“none recorded”,“none recorded”
102,2015-04-25,34,27,0,0,0,18707.25,“needs logging”,“none recorded”,“none recorded”
103,2015-04-26,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
104,2015-04-27,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
105,2015-04-28,15,16.5,0,0,0,9373.25,“needs logging”,“none recorded”,“none recorded”
106,2015-04-29,18,17.5,0,0,0,10017,“needs logging”,“none recorded”,“none recorded”
107,2015-04-30,16,18.5,0,0,0,10557.76,“needs logging”,“none recorded”,“none recorded”
108,2015-05-01,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
109,2015-05-02,42,33.5,0,0,0,21905.1,“needs logging”,“none recorded”,“none recorded”
110,2015-05-03,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
111,2015-05-04,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
112,2015-05-05,15,15.5,0,0,0,8158.25,“needs logging”,“none recorded”,“none recorded”
113,2015-05-06,14,16.5,0,0,0,9125,“needs logging”,“none recorded”,“none recorded”
114,2015-05-07,17,17,0,0,0,9564.25,“needs logging”,“none recorded”,“none recorded”
115,2015-05-08,25,30,0,0,0,15603,“needs logging”,“none recorded”,“none recorded”
116,2015-05-09,32,21,0,0,0,16213.9,“needs logging”,“none recorded”,“none recorded”
117,2015-05-10,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
118,2015-05-11,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
119,2015-05-12,16,18,0,0,0,11235.95,“needs logging”,“none recorded”,“none recorded”
120,2015-05-13,15,18.5,0,0,0,10325.47,“needs logging”,“none recorded”,“none recorded”
121,2015-05-14,21,19,0,0,0,12371.88,“needs logging”,“none recorded”,“none recorded”
122,2015-05-15,28,26.5,0,0,0,16692.6,“needs logging”,“none recorded”,“none recorded”
123,2015-05-16,35,24,0,0,0,19296.25,“needs logging”,“none recorded”,“none recorded”
124,2015-05-17,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
125,2015-05-18,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
126,2015-05-19,17,20,0,0,0,11222.05,“needs logging”,“none recorded”,“none recorded”
127,2015-05-20,15,16,0,0,0,10105.85,“needs logging”,“none recorded”,“none recorded”
128,2015-05-21,17.5,20.5,0,0,0,11254,“needs logging”,“none recorded”,“none recorded”
129,2015-05-22,25,25,0,0,0,14758.5,“needs logging”,“none recorded”,“none recorded”
130,2015-05-23,38,34,0,0,0,20520.7,“needs logging”,“none recorded”,“none recorded”
131,2015-05-24,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
132,2015-05-25,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
133,2015-05-26,16,17,0,0,0,9380.25,“needs logging”,“none recorded”,“none recorded”
134,2015-05-27,16,16.5,0,0,0,9688.75,“needs logging”,“none recorded”,“none recorded”
135,2015-05-28,17.5,16.5,0,0,0,10619.25,“needs logging”,“none recorded”,“none recorded”
136,2015-05-29,29,27.5,0,0,0,16319.55,“needs logging”,“none recorded”,“none recorded”
137,2015-05-30,30.5,22.5,0,0,0,16115.25,“needs logging”,“none recorded”,“none recorded”
138,2015-05-31,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
139,2015-06-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
140,2015-06-02,14,16,0,0,0,9556,“needs logging”,“none recorded”,“none recorded”
141,2015-06-03,14,14,0,0,0,8395,“needs logging”,“none recorded”,“none recorded”
142,2015-06-04,22.5,25,0,0,0,13655,“needs logging”,“none recorded”,“none recorded”
143,2015-06-05,23,18,0,0,0,11850.35,“needs logging”,“none recorded”,“none recorded”
144,2015-06-06,32,21,0,0,0,16561,“needs logging”,“none recorded”,“none recorded”
145,2015-06-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
146,2015-06-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
147,2015-06-09,19,14,0,0,0,9780,“needs logging”,“none recorded”,“none recorded”
148,2015-06-10,18.5,18,0,0,0,10666.7,“needs logging”,“none recorded”,“none recorded”
149,2015-06-11,21,22,0,0,0,11987,“needs logging”,“none recorded”,“none recorded”
150,2015-06-12,26,20,0,0,0,13497,“needs logging”,“none recorded”,“none recorded”
151,2015-06-13,27,20,0,0,0,14615,“needs logging”,“none recorded”,“none recorded”
152,2015-06-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
153,2015-06-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
154,2015-06-16,20,21,0,0,0,11910,“needs logging”,“none recorded”,“none recorded”
155,2015-06-17,18,14.5,0,0,0,9895.85,“needs logging”,“none recorded”,“none recorded”
156,2015-06-18,20,19,0,0,0,11270.4,“needs logging”,“none recorded”,“none recorded”
157,2015-06-19,28,25,0,0,0,15253,“needs logging”,“none recorded”,“none recorded”
158,2015-06-20,31,26,0,0,0,17500.65,“needs logging”,“none recorded”,“none recorded”
159,2015-06-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
160,2015-06-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
161,2015-06-23,18,17.5,0,0,0,10843.23,“needs logging”,“none recorded”,“none recorded”
162,2015-06-24,13.5,16,0,0,0,9577.39,“needs logging”,“none recorded”,“none recorded”
163,2015-06-25,18,16,0,0,0,11395.9,“needs logging”,“none recorded”,“none recorded”
164,2015-06-26,25,22.5,0,0,0,13990.4,“needs logging”,“none recorded”,“none recorded”
165,2015-06-27,30,24,0,0,0,16885.05,“needs logging”,“none recorded”,“none recorded”
166,2015-06-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
167,2015-06-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
168,2015-06-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
169,2015-07-01,20,17,0,0,0,11160.45,“needs logging”,“none recorded”,“none recorded”
170,2015-07-02,19,22,0,0,0,11363.95,“needs logging”,“none recorded”,“none recorded”
171,2015-07-03,37.5,25.5,0,0,0,18437.35,“needs logging”,“none recorded”,“none recorded”
172,2015-07-04,22,,0,0,0,8066.87,“needs logging”,“none recorded”,“none recorded”
173,2015-07-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
174,2015-07-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
175,2015-07-07,15,18,0,0,0,10032.7,“needs logging”,“none recorded”,“none recorded”
176,2015-07-08,16,16,0,0,0,9934.55,“needs logging”,“none recorded”,“none recorded”
177,2015-07-09,23,22.5,0,0,0,12919.4,“needs logging”,“none recorded”,“none recorded”
178,2015-07-10,29.5,27.5,0,0,0,16062.25,“needs logging”,“none recorded”,“none recorded”
179,2015-07-11,33.5,23.5,0,0,0,17679.31,“needs logging”,“none recorded”,“none recorded”
180,2015-07-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
181,2015-07-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
182,2015-07-14,19.5,16.5,0,0,0,10316.75,“needs logging”,“none recorded”,“none recorded”
183,2015-07-15,16,16.5,0,0,0,10130.8,“needs logging”,“none recorded”,“none recorded”
184,2015-07-16,18,18.5,0,0,0,11892.29,“needs logging”,“none recorded”,“none recorded”
185,2015-07-17,27,26,0,0,0,16455.9,“needs logging”,“none recorded”,“none recorded”
186,2015-07-18,29,21,0,0,0,17598.2,“needs logging”,“none recorded”,“none recorded”
187,2015-07-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
188,2015-07-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
189,2015-07-21,16,14,0,0,0,9986.09,“needs logging”,“none recorded”,“none recorded”
190,2015-07-22,20,16,0,0,0,10917.85,“needs logging”,“none recorded”,“none recorded”
191,2015-07-23,19,20,0,0,0,12062,“needs logging”,“none recorded”,“none recorded”
192,2015-07-24,25,21,0,0,0,14199.85,“needs logging”,“none recorded”,“none recorded”
193,2015-07-25,35,31,0,0,0,19881.35,“needs logging”,“none recorded”,“none recorded”
194,2015-07-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
195,2015-07-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
196,2015-07-28,17,21,0,0,0,11834.5,“needs logging”,“none recorded”,“none recorded”
197,2015-07-29,18,18.5,0,0,0,12639.15,“needs logging”,“none recorded”,“none recorded”
198,2015-07-30,19,19,0,0,0,11.637,“needs logging”,“none recorded”,“none recorded”
199,2015-07-31,30.25,28.5,0,0,0,17347.75,“needs logging”,“none recorded”,“none recorded”
200,2015-08-01,37.5,26,0,0,0,17947.44,“needs logging”,“none recorded”,“none recorded”
201,2015-08-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
202,2015-08-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
203,2015-08-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
204,2015-08-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
205,2015-08-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
