id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
2437,2017-09-26,11,10.5,0,0,0,8243,“needs logging”,“none recorded”,“none recorded”
2438,2017-09-27,14,14.5,0,0,0,9319,“needs logging”,“none recorded”,“none recorded”
2439,2017-09-28,13,14.5,0,0,0,9190,“needs logging”,“none recorded”,“none recorded”
2440,2017-09-29,23,26,0,0,0,15023,“needs logging”,“none recorded”,“none recorded”
2441,2017-09-30,35,25,0,0,0,19625,“needs logging”,“none recorded”,“none recorded”
2442,2017-10-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2443,2017-10-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2444,2017-10-03,15,16,0,0,0,11072,“needs logging”,“none recorded”,“none recorded”
2445,2017-10-04,16.5,15.5,0,0,0,10132,“needs logging”,“none recorded”,“none recorded”
2446,2017-10-05,16,16.5,0,0,0,10716,“needs logging”,“none recorded”,“none recorded”
2447,2017-10-06,26,24,0,0,0,16537,“needs logging”,“none recorded”,“none recorded”
2448,2017-10-07,31.5,24.5,0,0,0,18168,“needs logging”,“none recorded”,“none recorded”
2449,2017-10-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2450,2017-10-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2451,2017-10-10,14,15,0,0,0,9120,“needs logging”,“none recorded”,“none recorded”
2452,2017-10-11,16,12,0,0,0,8996,“needs logging”,“none recorded”,“none recorded”
2453,2017-10-12,15,14,0,0,0,9757,“needs logging”,“none recorded”,“none recorded”
2454,2017-10-13,26,29,0,0,0,16266,“needs logging”,“none recorded”,“none recorded”
2455,2017-10-14,30,22,0,0,0,17464,“needs logging”,“none recorded”,“none recorded”
2456,2017-10-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2457,2017-10-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2458,2017-10-17,15.5,13,0,0,0,9000,“needs logging”,“none recorded”,“none recorded”
2459,2017-10-18,14.25,13,0,0,0,9302,“needs logging”,“none recorded”,“none recorded”
2460,2017-10-19,15,19,0,0,0,10967,“needs logging”,“none recorded”,“none recorded”
2461,2017-10-20,25.5,23,0,0,0,14604,“needs logging”,“none recorded”,“none recorded”
2462,2017-10-21,37,25.5,0,0,0,20730,“needs logging”,“none recorded”,“none recorded”
2463,2017-10-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2464,2017-10-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2465,2017-10-24,14.5,12.5,0,0,0,9174,“needs logging”,“none recorded”,“none recorded”
2466,2017-10-25,15.25,14,0,0,0,8977,“needs logging”,“none recorded”,“none recorded”
2467,2017-10-26,15.5,17.5,0,0,0,10513,“needs logging”,“none recorded”,“none recorded”
2468,2017-10-27,26,24.5,0,0,0,15539,“needs logging”,“none recorded”,“none recorded”
2469,2017-10-28,34,25,0,0,0,19191,“needs logging”,“none recorded”,“none recorded”
2470,2017-10-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2471,2017-10-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2472,2017-10-31,22,21,0,0,0,12147,“needs logging”,“none recorded”,“none recorded”
2473,2017-11-01,16,14.5,0,0,0,9981,“needs logging”,“none recorded”,“none recorded”
2474,2017-11-02,17,14,0,0,0,9818,“needs logging”,“none recorded”,“none recorded”
2475,2017-11-03,26,25,0,0,0,15021,“needs logging”,“none recorded”,“none recorded”
2476,2017-11-04,30,23,0,0,0,17534,“needs logging”,“none recorded”,“none recorded”
2477,2017-11-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2478,2017-11-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2479,2017-11-07,11.5,12,0,0,0,8158,“needs logging”,“none recorded”,“none recorded”
2480,2017-11-08,15,12.5,0,0,0,9635,“needs logging”,“none recorded”,“none recorded”
2481,2017-11-09,16,14.5,0,0,0,10532,“needs logging”,“none recorded”,“none recorded”
2482,2017-11-10,27,19,0,0,0,13657,“needs logging”,“none recorded”,“none recorded”
2483,2017-11-11,41,30,0,0,0,21600,“needs logging”,“none recorded”,“none recorded”
2484,2017-11-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2485,2017-11-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2486,2017-11-14,14,11,0,0,0,8151,“needs logging”,“none recorded”,“none recorded”
2487,2017-11-15,15,12.5,0,0,0,8191,“needs logging”,“none recorded”,“none recorded”
2488,2017-11-16,16,13,0,0,0,8931,“needs logging”,“none recorded”,“none recorded”
2489,2017-11-17,23,21,0,0,0,13656,“needs logging”,“none recorded”,“none recorded”
2490,2017-11-18,34,27,0,0,0,13666,“needs logging”,“none recorded”,“none recorded”
2491,2017-11-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2492,2017-11-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2493,2017-11-21,22.5,18,0,0,0,11795,“needs logging”,“none recorded”,“none recorded”
2494,2017-11-22,61,40,0,0,0,28963,“needs logging”,“none recorded”,“none recorded”
2495,2017-11-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2496,2017-11-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2497,2017-11-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2498,2017-11-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2499,2017-11-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2500,2017-11-28,15,11,0,0,0,8734,“needs logging”,“none recorded”,“none recorded”
2501,2017-11-29,16,14,0,0,0,10017,“needs logging”,“none recorded”,“none recorded”
2502,2017-11-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2503,2017-12-01,24,19,0,0,0,13744,“needs logging”,“none recorded”,“none recorded”
2504,2017-12-02,31,24,0,0,0,17790,“needs logging”,“none recorded”,“none recorded”
2505,2017-12-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2506,2017-12-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2507,2017-12-05,15,11,0,0,0,8751,“needs logging”,“none recorded”,“none recorded”
2508,2017-12-06,13,13,0,0,0,8621,“needs logging”,“none recorded”,“none recorded”
2509,2017-12-07,15,17,0,0,0,10079,“needs logging”,“none recorded”,“none recorded”
2510,2017-12-08,24.5,16,0,0,0,12395,“needs logging”,“none recorded”,“none recorded”
2511,2017-12-09,30,21,0,0,0,15968,“needs logging”,“none recorded”,“none recorded”
2512,2017-12-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2513,2017-12-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2514,2017-12-12,13.5,12.5,0,0,0,8449,“needs logging”,“none recorded”,“none recorded”
2515,2017-12-13,17.5,14,0,0,0,10445,“needs logging”,“none recorded”,“none recorded”
2516,2017-12-14,19.5,16.5,0,0,0,10664,“needs logging”,“none recorded”,“none recorded”
2517,2017-12-15,27,20.5,0,0,0,14544,“needs logging”,“none recorded”,“none recorded”
2518,2017-12-16,34.5,21.5,0,0,0,16992,“needs logging”,“none recorded”,“none recorded”
2519,2017-12-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2520,2017-12-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2521,2017-12-19,19,13,0,0,0,10320,“needs logging”,“none recorded”,“none recorded”
2522,2017-12-20,17.5,12.5,0,0,0,9355,“needs logging”,“none recorded”,“none recorded”
2523,2017-12-21,21,14.5,0,0,0,11454,“needs logging”,“none recorded”,“none recorded”
2524,2017-12-22,30,14,0,0,0,13567,“needs logging”,“none recorded”,“none recorded”
2525,2017-12-23,38,21.5,0,0,0,16182,“needs logging”,“none recorded”,“none recorded”
2526,2017-12-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2527,2017-12-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2528,2017-12-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2529,2017-12-27,20.25,15,0,0,0,14719,“needs logging”,“none recorded”,“none recorded”
2530,2017-12-28,25,13,0,0,0,12422,“needs logging”,“none recorded”,“none recorded”
2531,2017-12-29,30.5,19.5,0,0,0,16093,“needs logging”,“none recorded”,“none recorded”
2532,2017-12-30,40,27,0,0,0,21129,“needs logging”,“none recorded”,“none recorded”
2533,2017-12-31,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2534,2018-01-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2535,2018-01-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2536,2018-01-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2537,2018-01-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2538,2018-01-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2539,2018-01-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2540,2018-01-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2541,2018-01-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2542,2018-01-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2543,2018-01-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2544,2018-01-11,18,18.5,0,0,0,11831,“needs logging”,“none recorded”,“none recorded”
2545,2018-01-12,27,24,0,0,0,15628,“needs logging”,“none recorded”,“none recorded”
2546,2018-01-13,37.5,26,0,0,0,20676,“needs logging”,“none recorded”,“none recorded”
2547,2018-01-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2548,2018-01-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2549,2018-01-16,14.5,11.5,0,0,0,8173,“needs logging”,“none recorded”,“none recorded”
2550,2018-01-17,16,13,0,0,0,9338,“needs logging”,“none recorded”,“none recorded”
2551,2018-01-18,16,13.5,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2552,2018-01-19,22,25,0,0,0,14112,“needs logging”,“none recorded”,“none recorded”
2553,2018-01-20,32,22,0,0,0,17845,“needs logging”,“none recorded”,“none recorded”
2554,2018-01-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2555,2018-01-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2556,2018-01-23,15.5,12,0,0,0,9142,“needs logging”,“none recorded”,“none recorded”
2557,2018-01-24,17,14,0,0,0,9266,“needs logging”,“none recorded”,“none recorded”
2558,2018-01-25,12.5,13.5,0,0,0,8168,“needs logging”,“none recorded”,“none recorded”
2559,2018-01-26,26,18,0,0,0,14013,“needs logging”,“none recorded”,“none recorded”
2560,2018-01-27,33.5,25.5,0,0,0,19935,“needs logging”,“none recorded”,“none recorded”
2561,2018-01-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2562,2018-01-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2563,2018-01-30,14,14.5,0,0,0,10151,“needs logging”,“none recorded”,“none recorded”
2564,2018-01-31,17.5,14.5,0,0,0,9888,“needs logging”,“none recorded”,“none recorded”
2565,2018-02-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2566,2018-02-02,26,25,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2567,2018-02-03,32,23,0,0,0,18084,“needs logging”,“none recorded”,“none recorded”
2568,2018-02-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2569,2018-02-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2570,2018-02-06,11.5,12.5,0,0,0,9490,“needs logging”,“none recorded”,“none recorded”
2571,2018-02-07,15.5,13.5,0,0,0,9826,“needs logging”,“none recorded”,“none recorded”
2572,2018-02-08,17.5,15.5,0,0,0,10385,“needs logging”,“none recorded”,“none recorded”
2573,2018-02-09,23,23,0,0,0,16087,“needs logging”,“none recorded”,“none recorded”
2574,2018-02-10,33,25,0,0,0,18899,“needs logging”,“none recorded”,“none recorded”
2575,2018-02-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2576,2018-02-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2577,2018-02-13,16,13,0,0,0,9526,“needs logging”,“none recorded”,“none recorded”
2578,2018-02-14,18,17.5,0,0,0,11880,“needs logging”,“none recorded”,“none recorded”
2579,2018-02-15,16,15.5,0,0,0,11173,“needs logging”,“none recorded”,“none recorded”
2580,2018-02-16,26,19,0,0,0,15433,“needs logging”,“none recorded”,“none recorded”
2581,2018-02-17,35,27,0,0,0,20397,“needs logging”,“none recorded”,“none recorded”
2582,2018-02-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2583,2018-02-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2584,2018-02-20,14.5,9.5,0,0,0,7741,“needs logging”,“none recorded”,“none recorded”
2585,2018-02-21,14.5,11.5,0,0,0,8365,“needs logging”,“none recorded”,“none recorded”
2586,2018-02-22,17.5,16.5,0,0,0,8373,“needs logging”,“none recorded”,“none recorded”
2587,2018-02-23,24.5,20.5,0,0,0,13838,“needs logging”,“none recorded”,“none recorded”
2588,2018-02-24,35.5,28,0,0,0,19708,“needs logging”,“none recorded”,“none recorded”
2589,2018-02-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2590,2018-02-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2591,2018-02-27,18,16,0,0,0,10780,“needs logging”,“none recorded”,“none recorded”
2592,2018-02-28,14.5,12,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2593,2018-03-01,17,16,0,0,0,10151,“needs logging”,“none recorded”,“none recorded”
2594,2018-03-02,25,25,0,0,0,15118,“needs logging”,“none recorded”,“none recorded”
2595,2018-03-03,34,26.75,0,0,0,18319,“needs logging”,“none recorded”,“none recorded”
2596,2018-03-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2597,2018-03-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2598,2018-03-06,12,13.5,0,0,0,9418,“needs logging”,“none recorded”,“none recorded”
2599,2018-03-07,19,18,0,0,0,11990,“needs logging”,“none recorded”,“none recorded”
2600,2018-03-08,16..5,17,0,0,0,10471,“needs logging”,“none recorded”,“none recorded”
2601,2018-03-09,26,21,0,0,0,14677,“needs logging”,“none recorded”,“none recorded”
2602,2018-03-10,33.5,28,0,0,0,20200,“needs logging”,“none recorded”,“none recorded”
2603,2018-03-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2604,2018-03-12,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2605,2018-03-13,12.5,12,0,0,0,7983,“needs logging”,“none recorded”,“none recorded”
2606,2018-03-14,17.5,19.5,0,0,0,12258,“needs logging”,“none recorded”,“none recorded”
2607,2018-03-15,16,14,0,0,0,9397,“needs logging”,“none recorded”,“none recorded”
2608,2018-03-16,25.5,29.5,0,0,0,15495,“needs logging”,“none recorded”,“none recorded”
2609,2018-03-17,34,24,0,0,0,18973,“needs logging”,“none recorded”,“none recorded”
2610,2018-03-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2611,2018-03-19,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2612,2018-03-20,12.5,15.5,0,0,0,9568,“needs logging”,“none recorded”,“none recorded”
2613,2018-03-21,14.5,16,0,0,0,9876,“needs logging”,“none recorded”,“none recorded”
2614,2018-03-22,15,19,0,0,0,10654,“needs logging”,“none recorded”,“none recorded”
2615,2018-03-23,26.5,30,0,0,0,17365,“needs logging”,“none recorded”,“none recorded”
2616,2018-03-24,32,23.5,0,0,0,18777,“needs logging”,“none recorded”,“none recorded”
2617,2018-03-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2618,2018-03-26,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2619,2018-03-27,16,17.5,0,0,0,11163,“needs logging”,“none recorded”,“none recorded”
2620,2018-03-28,15,18,0,0,0,11153,“needs logging”,“none recorded”,“none recorded”
2621,2018-03-29,18,21,0,0,0,12997,“needs logging”,“none recorded”,“none recorded”
2622,2018-03-30,28,23.5,0,0,0,16273,“needs logging”,“none recorded”,“none recorded”
2623,2018-03-31,35.5,26,0,0,0,20943,“needs logging”,“none recorded”,“none recorded”
2624,2018-04-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2625,2018-04-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2626,2018-04-03,16,14,0,0,0,10167,“needs logging”,“none recorded”,“none recorded”
2627,2018-04-04,18.5,16,0,0,0,11478,“needs logging”,“none recorded”,“none recorded”
2628,2018-04-05,18,14,0,0,0,10596,“needs logging”,“none recorded”,“none recorded”
2629,2018-04-06,18.5,18.5,0,0,0,11752,“needs logging”,“none recorded”,“none recorded”
2630,2018-04-07,31,25,0,0,0,17323,“needs logging”,“none recorded”,“none recorded”
2631,2018-04-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2632,2018-04-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2633,2018-04-10,15.5,13.5,0,0,0,8630,“needs logging”,“none recorded”,“none recorded”
2634,2018-04-11,14,13.5,0,0,0,9482,“needs logging”,“none recorded”,“none recorded”
2635,2018-04-12,21,19.5,0,0,0,13575,“needs logging”,“none recorded”,“none recorded”
2636,2018-04-13,28.5,27.5,0,0,0,17330,“needs logging”,“none recorded”,“none recorded”
2637,2018-04-14,33,25,0,0,0,19309,“needs logging”,“none recorded”,“none recorded”
2638,2018-04-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2639,2018-04-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2640,2018-04-17,15.5,16.5,0,0,0,10019,“needs logging”,“none recorded”,“none recorded”
2641,2018-04-18,17,15.5,0,0,0,10111,“needs logging”,“none recorded”,“none recorded”
2642,2018-04-19,16.5,17.5,0,0,0,10477,“needs logging”,“none recorded”,“none recorded”
2643,2018-04-20,26,25,0,0,0,16866,“needs logging”,“none recorded”,“none recorded”
2644,2018-04-21,34.25,28.5,0,0,0,20868,“needs logging”,“none recorded”,“none recorded”
2645,2018-04-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2646,2018-04-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2647,2018-04-24,16.5,18,0,0,0,10133,“needs logging”,“none recorded”,“none recorded”
2648,2018-04-25,17.5,15.5,0,0,0,10876,“needs logging”,“none recorded”,“none recorded”
2649,2018-04-26,17,16,0,0,0,10517,“needs logging”,“none recorded”,“none recorded”
2650,2018-04-27,25,26,0,0,0,16418,“needs logging”,“none recorded”,“none recorded”
2651,2018-04-28,33,29,0,0,0,20264,“needs logging”,“none recorded”,“none recorded”
2652,2018-04-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2653,2018-04-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2654,2018-05-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2655,2018-05-02,19,17,0,0,0,11943,“needs logging”,“none recorded”,“none recorded”
2656,2018-05-03,16,18.5,0,0,0,12107,“needs logging”,“none recorded”,“none recorded”
2657,2018-05-04,22.5,24,0,0,0,15164,“needs logging”,“none recorded”,“none recorded”
2658,2018-05-05,45,31.5,0,0,0,25092,“needs logging”,“none recorded”,“none recorded”
2659,2018-05-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2660,2018-05-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2661,2018-05-08,16.5,19.5,0,0,0,12121,“needs logging”,“none recorded”,“none recorded”
2662,2018-05-09,18.5,17,0,0,0,11775,“needs logging”,“none recorded”,“none recorded”
2663,2018-05-10,17,17.5,0,0,0,11687,“needs logging”,“none recorded”,“none recorded”
2664,2018-05-11,30.5,27.5,0,0,0,19400,“needs logging”,“none recorded”,“none recorded”
2665,2018-05-12,40.5,29.25,0,0,0,23756,“needs logging”,“none recorded”,“none recorded”
2666,2018-05-13,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2667,2018-05-14,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2668,2018-05-15,18.5,13,0,0,0,9903,“needs logging”,“none recorded”,“none recorded”
2669,2018-05-16,19,19,0,0,0,13936,“needs logging”,“none recorded”,“none recorded”
2670,2018-05-17,22,21.25,0,0,0,13790,“needs logging”,“none recorded”,“none recorded”
2671,2018-05-18,26,25,0,0,0,16460,“needs logging”,“none recorded”,“none recorded”
2672,2018-05-19,27.5,24,0,0,0,15892,“needs logging”,“none recorded”,“none recorded”
2673,2018-05-20,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2674,2018-05-21,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2675,2018-05-22,20,18,0,0,0,10998,“needs logging”,“none recorded”,“none recorded”
2676,2018-05-23,16,17.75,0,0,0,11572,“needs logging”,“none recorded”,“none recorded”
2677,2018-05-24,19.5,14,0,0,0,11243,“needs logging”,“none recorded”,“none recorded”
2678,2018-05-25,25,22,0,0,0,14566,“needs logging”,“none recorded”,“none recorded”
2679,2018-05-26,34.5,30,0,0,0,20726,“needs logging”,“none recorded”,“none recorded”
2680,2018-05-27,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2681,2018-05-28,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2682,2018-05-29,15.5,16.5,0,0,0,10691,“needs logging”,“none recorded”,“none recorded”
2683,2018-05-30,15.5,19.5,0,0,0,11453,“needs logging”,“none recorded”,“none recorded”
2684,2018-05-31,20,16.5,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2685,2018-06-01,24.5,27,0,0,0,14807,“needs logging”,“none recorded”,“none recorded”
2686,2018-06-02,35,22,0,0,0,19463,“needs logging”,“none recorded”,“none recorded”
2687,2018-06-03,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2688,2018-06-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2689,2018-06-05,17,18.5,0,0,0,12181,“needs logging”,“none recorded”,“none recorded”
2690,2018-06-06,19,16,0,0,0,11592,“needs logging”,“none recorded”,“none recorded”
2691,2018-06-07,17,18,0,0,0,12309,“needs logging”,“none recorded”,“none recorded”
2692,2018-06-08,29.5,29.5,0,0,0,16856,“needs logging”,“none recorded”,“none recorded”
2693,2018-06-09,34,22,0,0,0,19160,“needs logging”,“none recorded”,“none recorded”
2694,2018-06-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2695,2018-06-11,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2696,2018-06-12,14,12.5,0,0,0,10070,“needs logging”,“none recorded”,“none recorded”
2697,2018-06-13,15.5,16.5,0,0,0,11226,“needs logging”,“none recorded”,“none recorded”
2698,2018-06-14,22.5,22,0,0,0,13744,“needs logging”,“none recorded”,“none recorded”
2699,2018-06-15,25.5,24.5,0,0,0,15239,“needs logging”,“none recorded”,“none recorded”
2700,2018-06-16,30,20,0,0,0,17262,“needs logging”,“none recorded”,“none recorded”
2701,2018-06-17,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2702,2018-06-18,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2703,2018-06-19,20,15.5,0,0,0,11541,“needs logging”,“none recorded”,“none recorded”
2704,2018-06-20,19,18,0,0,0,12936,“needs logging”,“none recorded”,“none recorded”
2705,2018-06-21,18,16,0,0,0,11978,“needs logging”,“none recorded”,“none recorded”
2706,2018-06-22,27.5,27.5,0,0,0,18132,“needs logging”,“none recorded”,“none recorded”
2707,2018-06-23,28.5,20,0,0,0,17124,“needs logging”,“none recorded”,“none recorded”
2708,2018-06-24,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2709,2018-06-25,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2710,2018-06-26,17,16.5,0,0,0,11966,“needs logging”,“none recorded”,“none recorded”
2711,2018-06-27,16.5,14.5,0,0,0,11334,“needs logging”,“none recorded”,“none recorded”
2712,2018-06-28,21,19,0,0,0,12884,“needs logging”,“none recorded”,“none recorded”
2713,2018-06-29,22,22,0,0,0,15792,“needs logging”,“none recorded”,“none recorded”
2714,2018-06-30,32.5,24,0,0,0,16492,“needs logging”,“none recorded”,“none recorded”
2715,2018-07-01,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2716,2018-07-02,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2717,2018-07-03,20,21,0,0,0,13289,“needs logging”,“none recorded”,“none recorded”
2718,2018-07-04,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2719,2018-07-05,22,18.5,0,0,0,13126,“needs logging”,“none recorded”,“none recorded”
2720,2018-07-06,23,21,0,0,0,14407,“needs logging”,“none recorded”,“none recorded”
2721,2018-07-07,27,30,0,0,0,18053,“needs logging”,“none recorded”,“none recorded”
2722,2018-07-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2723,2018-07-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2724,2018-07-10,16,18.5,0,0,0,11779,“needs logging”,“none recorded”,“none recorded”
2725,2018-07-11,16,18,0,0,0,10778,“needs logging”,“none recorded”,“none recorded”
2726,2018-07-12,16,17,0,0,0,12778,“needs logging”,“none recorded”,“none recorded”
2727,2018-07-13,32,33.5,0,0,0,22161,“needs logging”,“none recorded”,“none recorded”
2728,2018-07-14,29.5,20.5,0,0,0,16749,“needs logging”,“none recorded”,“none recorded”
2729,2018-07-15,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2730,2018-07-16,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2731,2018-07-17,17,18,0,0,0,11686,“needs logging”,“none recorded”,“none recorded”
2732,2018-07-18,15.5,16.5,0,0,0,11273,“needs logging”,“none recorded”,“none recorded”
2733,2018-07-19,21,21.5,0,0,0,14163,“needs logging”,“none recorded”,“none recorded”
2734,2018-07-20,27,18,0,0,0,13697,“needs logging”,“none recorded”,“none recorded”
2735,2018-07-21,34,28,0,0,0,18608,“needs logging”,“none recorded”,“none recorded”
2736,2018-07-22,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2737,2018-07-23,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2738,2018-07-24,17.5,18,0,0,0,11674,“needs logging”,“none recorded”,“none recorded”
2739,2018-07-25,19,17,0,0,0,12230,“needs logging”,“none recorded”,“none recorded”
2740,2018-07-26,17.5,16.5,0,0,0,11979,“needs logging”,“none recorded”,“none recorded”
2741,2018-07-27,26,28,0,0,0,17270,“needs logging”,“none recorded”,“none recorded”
2742,2018-07-28,34,25.5,0,0,0,20136,“needs logging”,“none recorded”,“none recorded”
2743,2018-07-29,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2744,2018-07-30,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2745,2018-07-31,17.5,19.5,0,0,0,12721,“needs logging”,“none recorded”,“none recorded”
2746,2018-08-01,18.5,16,0,0,0,11857,“needs logging”,“none recorded”,“none recorded”
2747,2018-08-02,23,24.5,0,0,0,15516,“needs logging”,“none recorded”,“none recorded”
2748,2018-08-03,27,19,0,0,0,16210,“needs logging”,“none recorded”,“none recorded”
2749,2018-08-04,41,31,0,0,0,22453,“needs logging”,“none recorded”,“none recorded”
2750,2018-08-05,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2751,2018-08-06,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2752,2018-08-07,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2753,2018-08-08,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2754,2018-08-09,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
2755,2018-08-10,,,0,0,0,,“needs logging”,“none recorded”,“none recorded”
